Weight;Source;Target;Type
26;гений;за;Undirected
26;гений;находить;Undirected
26;гений;решение;Undirected
26;гений;секунда;Undirected
26;давать;ответ;Undirected
26;день;поле;Undirected
26;день;съедать;Undirected
26;длина;км;Undirected
26;длина;метр;Undirected
26;же;какой;Undirected
26;за;заполнять;Undirected
26;за;токарь;Undirected
26;за;цена;Undirected
26;за;экскаватор;Undirected
26;заказ;один;Undirected
26;заказ;чем;Undirected
26;и;известно;Undirected
26;и;сделать;Undirected
26;и;скорость;Undirected
26;и;третий;Undirected
26;и;чем;Undirected
26;идти;км;Undirected
26;идти;проходить;Undirected
26;каждый;час;Undirected
26;какой;проходить;Undirected
26;катер;проходить;Undirected
26;км;находить;Undirected
26;км;средний;Undirected
26;который;час;Undirected
26;м;по;Undirected
26;маленький;на;Undirected
26;месяц;сделать;Undirected
26;на;тот;Undirected
26;наполняться;труба;Undirected
26;не;решать;Undirected
26;один;работать;Undirected
26;одинаковый;с;Undirected
26;они;сколько;Undirected
26;от;путь;Undirected
26;первый;такой;Undirected
26;по;расстояние;Undirected
26;по;улитка;Undirected
26;река;час;Undirected
26;сколько;составлять;Undirected
25;билет;купить;Undirected
25;быстро;что;Undirected
25;быть;весь;Undirected
25;в;градус;Undirected
25;в;заказ;Undirected
25;в;описывать;Undirected
25;в;угол;Undirected
25;вверх;по;Undirected
25;вверх;улитка;Undirected
25;вода;насос;Undirected
25;выполнять;из;Undirected
25;градус;какой;Undirected
25;градус;описывать;Undirected
25;градус;угол;Undirected
25;день;из;Undirected
25;день;они;Undirected
25;деталь;ученик;Undirected
25;дима;за;Undirected
25;длина;поезд;Undirected
25;если;км;Undirected
25;ехать;проехать;Undirected
25;же;много;Undirected
25;же;скорость;Undirected
25;же;чем;Undirected
25;задача;решение;Undirected
25;и;много;Undirected
25;и;определять;Undirected
25;из;он;Undirected
25;из;с;Undirected
25;какой;маленький;Undirected
25;км;мотоциклист;Undirected
25;количество;маленький;Undirected
25;количество;теплота;Undirected
25;купить;месяц;Undirected
25;месяц;поездка;Undirected
25;минута;одинаковый;Undirected
25;минута;по;Undirected
25;можно;час;Undirected
25;на;ответ;Undirected
25;находить;ответ;Undirected
25;находить;средний;Undirected
25;он;ч;Undirected
25;по;река;Undirected
25;поезд;проезжать;Undirected
25;поезд;секунда;Undirected
25;работать;три;Undirected
25;тот;что;Undirected
24;а;между;Undirected
24;а;одновременно;Undirected
24;билет;месяц;Undirected
24;билет;проездной;Undirected
24;билет;сделать;Undirected
24;билл;гейтс;Undirected
24;билл;за;Undirected
24;билл;находить;Undirected
24;билл;решение;Undirected
24;билл;секунда;Undirected
24;в;при;Undirected
24;в;проезжать;Undirected
24;в;работа;Undirected
24;в;такой;Undirected
24;в;турист;Undirected
24;вверх;день;Undirected
24;вверх;на;Undirected
24;вместе;один;Undirected
24;вспахивать;два;Undirected
24;вспахивать;час;Undirected
24;гейтс;за;Undirected
24;гейтс;находить;Undirected
24;гейтс;решение;Undirected
24;гейтс;секунда;Undirected
24;город;два;Undirected
24;два;из;Undirected
24;день;количество;Undirected
24;день;определять;Undirected
24;для;находить;Undirected
24;до;дом;Undirected
24;до;если;Undirected
24;ехать;он;Undirected
24;за;ночь;Undirected
24;за;преодолевать;Undirected
24;за;проездной;Undirected
24;и;какой;Undirected
24;и;они;Undirected
24;и;поездка;Undirected
